ID,CAPACIDAD,NOMBRE,TELEFONO,DIRECCION,ESTRELLAS,RUT,HABDISPONIBLES,HABOCUPADAS,HORACIERRE,HORAAPERTURA,CEDULA,EDAD,TIPO
529,3,Stringtough,957 207 5552,9 Oneill Terrace,3,65-218-9679,122,122,null,null,null,null,hotel
530,4,Veribet,600 794 6870,6320 Melby Road,3,56-430-8338,3,5,null,null,null,null,hotel
531,2,Tempsoft,435 549 9184,40 Tomscot Road,2,41-647-6744,64,119,null,null,null,null,hotel
532,1,Zontrax,803 791 6642,2106 Pearson Alley,5,32-710-9165,74,106,null,null,null,null,hotel
533,3,Greenlam,733 584 9522,642 Karstens Parkway,3,24-803-5797,113,17,null,null,null,null,hotel
534,4,Tresom,538 536 2483,8941 Dovetail Drive,3,10-463-3755,47,147,null,null,null,null,hotel
535,1,Asoka,732 219 4802,41253 Stang Terrace,3,45-684-3581,107,147,null,null,null,null,hotel
536,1,Daltfresh,872 669 2026,02 Sullivan Trail,2,35-753-9696,152,14,null,null,null,null,hotel
537,3,Tres-Zap,145 533 3598,17 Thackeray Hill,3,47-907-9202,42,2,null,null,null,null,hotel
538,4,Aerified,983 375 5155,0585 Huxley Street,2,72-489-3523,89,98,null,null,null,null,hotel
539,1,Bitwolf,582 410 7157,205 Colorado Lane,2,34-162-8473,88,4,null,null,null,null,hotel
540,2,Cardify,637 693 6257,10909 New Castle Alley,3,23-421-7217,127,101,null,null,null,null,hotel
541,1,Fintone,812 433 1340,8 Merrick Avenue,2,16-333-7182,15,111,null,null,null,null,hotel
542,2,Konklux,755 393 8591,03329 Jackson Junction,5,87-487-0963,82,125,null,null,null,null,hotel
543,3,Flexidy,850 477 4564,7471 Iowa Lane,5,31-839-6358,35,90,null,null,null,null,hotel
544,3,Tampflex,414 798 6516,501 Logan Hill,5,26-745-3742,10,34,null,null,null,null,hotel
545,4,Kanlam,901 140 9447,59 Valley Edge Pass,3,09-381-4398,89,58,null,null,null,null,hotel
546,2,Job,377 473 7656,1833 Transport Pass,3,39-365-1512,6,23,null,null,null,null,hotel
547,2,Konklux,741 154 3200,4299 Grover Court,4,54-919-3039,24,53,null,null,null,null,hotel
548,3,Latlux,908 600 0036,58080 Shopko Center,4,26-575-8624,115,74,null,null,null,null,hotel
549,4,Vagram,978 168 7600,239 Eagan Street,2,12-946-6478,67,113,null,null,null,null,hotel
550,2,Zathin,176 405 0360,25079 Lindbergh Trail,3,21-257-3759,67,30,null,null,null,null,hotel
551,4,Andalax,793 295 8827,65 Rockefeller Road,2,50-420-4235,40,88,null,null,null,null,hotel
552,1,Flexidy,925 136 3249,39363 Ludington Road,2,44-817-3711,38,156,null,null,null,null,hotel
553,4,Kanlam,361 479 8180,7 Florence Place,4,60-131-3793,128,76,null,null,null,null,hotel
554,3,Subin,612 792 2713,80227 Bellgrove Park,5,93-824-8005,144,42,null,null,null,null,hotel
555,1,Veribet,324 164 1636,3289 Lighthouse Bay Circle,4,79-356-4659,108,133,null,null,null,null,hotel
556,2,Tresom,543 527 4261,33 Calypso Way,2,14-358-9232,42,11,null,null,null,null,hotel
557,1,Fix San,664 263 4552,7 Sundown Park,5,85-466-3268,140,85,null,null,null,null,hotel
558,2,Ventosanzap,391 929 7462,3807 Holy Cross Crossing,2,02-275-7913,28,109,null,null,null,null,hotel
559,3,Biodex,335 319 6444,422 Ohio Crossing,5,47-661-3579,12,129,null,null,null,null,hotel
560,1,Overhold,116 559 3642,4 Susan Terrace,3,12-806-9417,46,16,null,null,null,null,hotel
561,4,Zaam-Dox,468 444 7879,9 Cottonwood Hill,5,98-554-1997,145,69,null,null,null,null,hotel
562,1,Pannier,363 530 2387,2786 Express Parkway,3,45-250-2471,122,63,null,null,null,null,hotel
563,1,Y-find,635 105 3397,4 Karstens Avenue,3,78-581-5000,64,86,null,null,null,null,hotel
564,1,Keylex,717 525 5799,044 Texas Drive,2,23-179-7484,130,74,null,null,null,null,hotel
565,1,Overhold,443 693 8042,23 Pierstorff Road,4,65-348-0772,29,95,null,null,null,null,hotel
566,1,Bitchip,469 218 4244,68 Gina Place,5,44-653-1808,22,8,null,null,null,null,hotel
567,2,Cardify,154 587 9460,1 Mccormick Parkway,4,01-595-0939,87,32,null,null,null,null,hotel
568,3,Namfix,476 744 2575,3551 Spenser Court,4,32-057-4249,61,70,null,null,null,null,hotel
569,4,Bitwolf,634 158 9379,24505 La Follette Trail,5,07-150-5439,17,118,null,null,null,null,hotel
570,4,Holdlamis,260 766 0043,49885 Village Street,4,11-932-5174,95,76,null,null,null,null,hotel
571,2,Tres-Zap,346 679 0296,4 Saint Paul Pass,3,33-698-9753,7,74,null,null,null,null,hotel
572,2,Solarbreeze,751 269 9927,33 Cambridge Trail,5,28-978-5800,72,102,null,null,null,null,hotel
573,4,Biodex,384 636 9329,34864 Jana Place,5,04-929-1775,139,70,null,null,null,null,hotel
574,3,Gembucket,377 319 1151,6618 Northridge Drive,2,03-843-7417,147,130,null,null,null,null,hotel
575,2,Greenlam,237 263 9354,8 Randy Parkway,3,30-445-6812,141,4,null,null,null,null,hotel
576,3,Wrapsafe,736 862 7804,7 Red Cloud Way,3,87-560-0978,63,147,null,null,null,null,hotel
577,2,Veribet,914 271 4926,62171 Esker Road,5,03-955-0440,98,21,null,null,null,null,hotel
578,4,Namfix,499 504 8728,81 Kenwood Terrace,5,71-010-4088,128,160,null,null,null,null,hotel
579,4,Stim,915 175 2737,015 Bunker Hill Lane,2,56-102-7515,62,105,null,null,null,null,hotel
580,3,Hatity,534 185 5489,80 Dottie Place,5,24-424-0209,109,10,null,null,null,null,hotel
581,2,Veribet,358 660 0507,37114 Doe Crossing Way,2,95-261-4841,123,8,null,null,null,null,hotel
582,4,Bitwolf,563 767 8266,55 American Terrace,4,55-699-0125,25,96,null,null,null,null,hotel
583,4,Daltfresh,204 807 6256,38 Fremont Crossing,2,16-410-9024,141,18,null,null,null,null,hotel
584,3,Fix San,139 522 4682,43486 Gina Plaza,3,54-436-6459,133,124,null,null,null,null,hotel
585,4,Span,479 907 8251,45 Fulton Alley,2,05-225-7409,151,116,null,null,null,null,hotel
586,4,Subin,560 765 2432,461 Amoth Way,3,13-064-2164,119,63,null,null,null,null,hotel
587,3,Latlux,796 260 5684,9 Heffernan Avenue,5,69-230-5082,109,160,null,null,null,null,hotel
588,1,Konklab,452 830 3136,9 Dakota Lane,2,49-813-2500,112,29,null,null,null,null,hotel
589,3,Cardify,216 608 9263,92830 Rutledge Pass,4,31-822-4307,31,120,null,null,null,null,hotel
590,4,Prodder,308 550 4887,76 Grover Point,3,45-778-1193,81,138,null,null,null,null,hotel
591,2,Overhold,475 339 6498,5703 Cardinal Street,3,56-642-6737,158,117,null,null,null,null,hotel
592,4,Sonsing,522 905 8208,2274 Quincy Lane,4,77-118-6187,126,142,null,null,null,null,hotel
593,4,Duobam,185 395 0125,491 Larry Avenue,5,72-671-8962,126,43,null,null,null,null,hotel
594,4,Toughjoyfax,339 787 1510,40059 Canary Terrace,3,15-329-5621,18,135,null,null,null,null,hotel
595,1,Redhold,669 299 9376,45030 Charing Cross Drive,4,65-328-0673,92,66,null,null,null,null,hotel
596,1,Tampflex,512 205 2500,4556 South Way,3,85-357-3944,4,83,null,null,null,null,hotel
597,1,Alphazap,202 820 5795,13 Monument Drive,5,65-552-1417,145,72,null,null,null,null,hotel
598,4,Toughjoyfax,847 746 6985,5447 Springview Junction,5,96-043-2899,102,72,null,null,null,null,hotel
599,4,Redhold,810 148 5527,68 Chive Point,5,08-727-6613,109,81,null,null,null,null,hotel
600,3,Andalax,301 341 6071,3 Claremont Junction,4,99-638-0182,4,87,null,null,null,null,hotel
601,1,Matsoft,726 713 8493,6816 Marcy Plaza,5,69-207-9909,152,156,null,null,null,null,hotel
602,4,Otcom,662 794 0211,5036 Burrows Avenue,4,81-712-9327,1,89,null,null,null,null,hotel
603,4,Tempsoft,757 575 6088,94775 Coolidge Park,5,62-589-4645,84,78,null,null,null,null,hotel
604,1,Matsoft,446 994 6040,11405 Forest Run Circle,5,17-562-7607,46,140,null,null,null,null,hotel
605,3,Pannier,873 812 2681,3 Darwin Point,2,41-200-6428,55,135,null,null,null,null,hotel
606,2,Bigtax,683 933 0317,6592 Farmco Alley,3,68-164-9110,54,127,null,null,null,null,hotel
607,3,Span,862 951 4038,41 Summer Ridge Plaza,3,91-637-1116,146,153,null,null,null,null,hotel
608,1,Bytecard,163 649 2643,2556 Morrow Point,3,08-120-9924,152,21,null,null,null,null,hotel
609,4,Job,812 764 7673,74346 Fordem Court,4,39-161-1017,117,11,null,null,null,null,hotel
610,1,Daltfresh,779 771 1276,53595 Hagan Way,5,61-741-2945,119,155,null,null,null,null,hotel
611,3,Stronghold,516 870 4756,8168 Chive Street,3,36-419-9046,62,3,null,null,null,null,hotel
612,2,Alpha,339 467 6878,08969 Monument Circle,4,92-881-6412,103,53,null,null,null,null,hotel
613,2,Mat Lam Tam,325 184 6496,878 Commercial Junction,4,75-099-5173,147,34,null,null,null,null,hotel
614,4,Temp,323 343 0296,9780 Eastwood Drive,4,06-179-5075,60,126,null,null,null,null,hotel
615,4,Kanlam,463 259 3813,7 Weeping Birch Circle,2,22-309-4639,159,5,null,null,null,null,hotel
616,4,Latlux,200 474 6603,44 Daystar Terrace,3,81-586-9028,107,90,null,null,null,null,hotel
617,3,Tempsoft,898 134 3652,1 Rieder Parkway,5,42-331-6244,86,14,null,null,null,null,hotel
618,1,Fixflex,937 657 8650,99 Fairview Circle,5,75-568-3468,107,23,null,null,null,null,hotel
619,1,Quo Lux,761 348 2635,39 Express Circle,3,72-494-9828,94,107,null,null,null,null,hotel
620,4,Holdlamis,441 153 7981,00318 Basil Terrace,3,28-356-9201,94,124,null,null,null,null,hotel
621,2,Toughjoyfax,788 637 5396,6 Burrows Lane,3,02-051-6707,153,61,null,null,null,null,hotel
622,4,Fintone,348 706 4281,3 Sundown Point,2,13-534-7308,102,85,null,null,null,null,hotel
623,1,Voyatouch,531 190 1140,251 Loeprich Alley,4,00-951-7145,154,100,null,null,null,null,hotel
624,3,Aerified,387 633 1340,38137 Raven Plaza,5,95-978-5949,54,21,null,null,null,null,hotel
625,3,Bitchip,937 602 6603,41940 Brickson Park Drive,4,25-154-0699,153,61,null,null,null,null,hotel
626,2,Regrant,612 426 0458,640 Luster Park,5,17-092-2623,52,11,null,null,null,null,hotel
627,1,Span,617 148 2501,9002 Lunder Trail,4,63-036-9953,66,105,null,null,null,null,hotel
628,1,Regrant,909 121 0146,70068 Jackson Park,4,16-907-9073,8,134,null,null,null,null,hotel
629,1,Sonsing,844 103 1131,580 Mayer Trail,5,74-184-4309,143,141,null,null,null,null,hotel
630,3,Bamity,167 261 3232,07 School Alley,3,08-336-7250,61,120,null,null,null,null,hotel
631,2,Ventosanzap,237 948 2867,46941 Union Point,5,23-934-5545,155,121,null,null,null,null,hotel
632,1,Cookley,109 137 7207,809 Nancy Center,5,46-499-2029,82,140,null,null,null,null,hotel
633,1,Lotstring,390 112 2713,025 Esker Center,3,85-470-0327,25,52,null,null,null,null,hotel
634,4,Redhold,571 947 7642,810 Park Meadow Alley,4,73-594-3162,158,29,null,null,null,null,hotel
635,4,Fixflex,507 355 0173,19834 Stoughton Center,2,30-528-1827,129,147,null,null,null,null,hotel
636,1,Trippledex,399 623 0774,60 Oneill Point,4,72-430-2129,7,97,null,null,null,null,hotel
637,4,Konklux,574 659 4791,8532 South Trail,3,55-623-1583,153,121,null,null,null,null,hotel
638,4,Y-Solowarm,352 228 4240,1612 Memorial Alley,5,76-647-7681,20,136,null,null,null,null,hotel
639,1,Asoka,338 205 4829,003 Union Drive,3,87-422-2443,88,130,null,null,null,null,hotel
640,4,Tresom,799 316 3949,75012 Basil Court,3,96-440-8496,84,118,null,null,null,null,hotel
641,4,Solarbreeze,826 519 3210,37165 Summer Ridge Crossing,3,06-844-2923,157,13,null,null,null,null,hotel
642,1,Sonair,335 874 3301,5 Crescent Oaks Junction,3,31-443-7966,44,36,null,null,null,null,hotel
643,2,Cookley,202 707 5514,93146 Dayton Trail,4,13-505-5450,19,87,null,null,null,null,hotel
644,1,Bytecard,345 979 8409,07 Moose Terrace,2,18-308-0610,128,42,null,null,null,null,hotel
645,1,Prodder,393 269 8356,1293 Oak Valley Way,2,74-710-6778,125,38,null,null,null,null,hotel
646,4,Stringtough,956 545 2080,61 Duke Plaza,4,22-007-9562,77,32,null,null,null,null,hotel
647,1,Y-find,989 470 4865,659 Ridgeview Circle,5,86-119-6970,99,117,null,null,null,null,hotel
648,3,Viva,396 795 3712,031 Hollow Ridge Avenue,4,19-833-1441,108,41,null,null,null,null,hotel
649,4,Pannier,156 247 0089,5523 Merchant Alley,2,21-740-0305,42,36,null,null,null,null,hotel
650,1,Duobam,218 853 2510,6 Erie Drive,3,03-536-2763,130,159,null,null,null,null,hotel
651,4,Daltfresh,993 842 4894,253 Jenifer Place,4,10-975-5331,130,154,null,null,null,null,hotel
652,4,Toughjoyfax,107 330 7484,8611 Grim Junction,4,24-425-3244,45,32,null,null,null,null,hotel
653,3,Redhold,342 716 9953,6 Tennyson Drive,2,10-291-7942,36,118,null,null,null,null,hotel
654,1,Cookley,415 457 4284,7 Hazelcrest Terrace,3,66-797-9116,108,130,null,null,null,null,hotel
655,3,Temp,168 708 6841,50 Mandrake Crossing,4,03-398-4553,34,126,null,null,null,null,hotel
656,4,Quo Lux,431 712 1762,74808 Spohn Crossing,5,73-215-3360,18,124,null,null,null,null,hotel
657,1,Pannier,271 403 5014,34 Delladonna Point,2,04-873-7418,116,53,null,null,null,null,hotel
658,3,Job,793 162 9133,2701 Dunning Court,5,49-696-4502,140,158,null,null,null,null,hotel
659,4,Daltfresh,981 126 8900,66 Kipling Terrace,5,91-102-8376,54,43,null,null,null,null,hotel
660,1,Opela,931 898 9695,6 Shasta Hill,4,57-754-4987,34,107,null,null,null,null,hotel
661,3,Y-find,696 223 9594,947 Birchwood Avenue,3,43-289-4076,51,39,null,null,null,null,hotel
662,2,Konklux,558 439 6709,692 Kropf Point,4,08-419-4699,103,63,null,null,null,null,hotel
663,4,Regrant,586 422 8148,23404 5th Avenue,5,21-645-4463,78,104,null,null,null,null,hotel
664,1,Bigtax,151 232 2627,43233 Harper Terrace,2,23-601-3099,38,140,null,null,null,null,hotel
665,2,Vagram,523 491 2413,5636 Main Lane,3,11-671-9928,103,107,null,null,null,null,hotel
666,1,Vagram,556 293 2250,41 La Follette Hill,3,54-076-2323,16,67,null,null,null,null,hotel
667,1,Aerified,484 672 4668,63217 Magdeline Hill,4,99-775-3952,19,29,null,null,null,null,hotel
668,1,Ronstring,759 529 4095,80604 Grover Street,5,67-904-7018,21,142,null,null,null,null,hotel
669,2,Voltsillam,415 964 2754,9961 Del Sol Drive,5,34-070-3097,152,86,null,null,null,null,hotel
670,2,Namfix,459 603 0294,5872 Corry Terrace,4,18-592-6111,128,147,null,null,null,null,hotel
671,3,Kanlam,215 134 2879,036 Dakota Drive,5,73-579-3137,98,131,null,null,null,null,hotel
672,2,Greenlam,670 366 7098,50705 Marcy Junction,2,53-211-8098,113,46,null,null,null,null,hotel
673,4,Treeflex,927 168 9452,960 Hoard Road,5,31-697-8632,111,107,null,null,null,null,hotel
674,3,Holdlamis,916 683 3665,81 Manitowish Terrace,3,39-913-8637,156,35,null,null,null,null,hotel
675,4,Greenlam,255 124 7739,5 Sundown Junction,2,82-712-8017,31,101,null,null,null,null,hotel
676,4,Aerified,225 415 6436,5 Sachtjen Junction,3,22-491-9420,20,155,null,null,null,null,hotel
677,3,Cardify,379 806 1307,80 Corben Junction,2,96-161-9614,135,50,null,null,null,null,hotel
678,3,Flowdesk,747 316 0900,6101 Moland Alley,3,76-958-8988,97,154,null,null,null,null,hotel
679,2,Redhold,266 554 4306,13 Carey Park,4,57-174-5955,69,135,null,null,null,null,hotel
680,1,Tin,722 767 3743,0167 Mesta Lane,3,46-729-3762,16,112,null,null,null,null,hotel
681,3,Regrant,494 247 0187,59 Arrowood Crossing,4,66-281-8692,84,66,null,null,null,null,hotel
682,1,Greenlam,645 343 6379,26917 Golf Course Center,4,82-052-0108,58,88,null,null,null,null,hotel
683,4,Solarbreeze,903 635 1935,35846 Northwestern Center,3,47-298-7886,123,63,null,null,null,null,hotel
684,1,Tampflex,507 371 6122,2 Morningstar Avenue,3,56-065-5230,60,33,null,null,null,null,hotel
685,4,Trippledex,400 625 0225,49 Loeprich Drive,4,22-331-8848,115,128,null,null,null,null,hotel
686,3,Zoolab,968 582 3715,2398 Graceland Park,3,89-070-0378,10,98,null,null,null,null,hotel
687,4,Otcom,329 175 8682,90470 Graceland Lane,2,38-051-6114,146,13,null,null,null,null,hotel
688,4,Redhold,447 363 9920,30108 Old Shore Lane,2,32-347-8042,134,149,null,null,null,null,hotel
689,2,Zoolab,496 223 0014,436 Messerschmidt Point,5,02-454-0817,7,56,null,null,null,null,hotel
690,1,Zontrax,807 496 8611,0358 Transport Alley,4,60-500-1171,67,46,null,null,null,null,hotel
691,1,Redhold,285 379 1073,28 West Lane,4,40-247-8417,44,22,null,null,null,null,hotel
692,3,Stringtough,145 744 1625,34348 Chinook Trail,5,29-618-1650,105,37,null,null,null,null,hotel
693,2,Span,216 476 7882,08390 Hanover Street,4,93-391-4497,30,82,null,null,null,null,hotel
694,3,Domainer,254 601 6779,02 Colorado Street,5,19-883-2340,92,1,null,null,null,null,hotel
695,2,Sonsing,489 505 2588,36659 Bartelt Alley,2,86-828-2699,86,7,null,null,null,null,hotel
696,4,Zathin,159 876 8904,60 Del Mar Way,4,24-081-7844,73,33,null,null,null,null,hotel
697,3,Job,986 591 8920,15083 Kedzie Pass,3,92-037-2118,56,121,null,null,null,null,hotel
698,4,Tresom,650 620 3433,1 Dennis Alley,4,14-690-2262,61,17,null,null,null,null,hotel
699,4,Kanlam,105 574 5945,6 Londonderry Alley,5,37-130-6586,3,151,null,null,null,null,hotel
700,3,Stronghold,967 170 6339,3764 Pankratz Circle,5,91-546-5645,34,99,null,null,null,null,hotel
701,2,Keylex,174 323 1616,309 Sutherland Avenue,3,44-274-3298,147,102,null,null,null,null,hotel
702,1,Duobam,209 844 5648,5 Schiller Drive,2,63-489-0268,112,67,null,null,null,null,hotel
703,2,Alphazap,921 379 8076,9148 Emmet Street,3,85-409-0059,22,127,null,null,null,null,hotel
704,3,Ventosanzap,338 723 6286,207 Myrtle Avenue,4,70-009-2971,107,2,null,null,null,null,hotel
705,2,Alphazap,207 348 9416,8499 Amoth Junction,2,54-148-9190,108,122,null,null,null,null,hotel
706,1,Vagram,863 535 4177,6840 Bartelt Circle,4,33-426-8426,105,59,null,null,null,null,hotel
707,3,Sub-Ex,517 776 7665,16 Browning Center,2,01-524-7853,150,74,null,null,null,null,hotel
708,1,Bitchip,520 793 2275,18196 Rieder Plaza,4,67-530-7676,148,81,null,null,null,null,hotel
709,1,Toughjoyfax,147 269 3069,34 Badeau Park,3,01-995-4060,117,89,null,null,null,null,hotel
710,3,Holdlamis,935 176 9771,97523 Helena Plaza,4,85-523-8560,116,62,null,null,null,null,hotel
711,1,Vagram,704 198 7703,2436 Summerview Drive,5,94-694-4423,80,146,null,null,null,null,hotel
712,3,Job,220 852 8025,18836 Becker Plaza,4,02-611-5176,98,115,null,null,null,null,hotel
713,4,Stim,449 233 6845,0324 Bellgrove Point,3,65-787-0199,58,138,null,null,null,null,hotel
714,3,Matsoft,713 685 2539,9320 Crest Line Junction,4,00-017-4886,94,97,null,null,null,null,hotel
715,3,Greenlam,167 335 0018,54883 Transport Hill,4,46-366-9630,40,114,null,null,null,null,hotel
716,4,Treeflex,964 907 5098,611 Tennessee Place,4,92-311-1133,36,68,null,null,null,null,hotel
717,3,Greenlam,888 453 8749,0 Porter Parkway,3,82-145-6545,135,16,null,null,null,null,hotel
718,1,Namfix,952 975 8902,746 Dahle Center,3,47-738-3365,103,32,null,null,null,null,hotel
719,3,Quo Lux,650 670 8377,863 Fremont Plaza,4,17-471-1711,41,39,null,null,null,null,hotel
720,3,Zaam-Dox,822 730 2288,8895 Acker Center,4,61-076-5507,149,119,null,null,null,null,hotel
721,4,Bamity,887 526 2093,07 Northwestern Hill,3,79-831-0416,25,59,null,null,null,null,hotel
722,3,Tin,849 669 2475,6043 Bonner Avenue,2,80-290-4608,117,98,null,null,null,null,hotel
723,4,Lotlux,861 881 1488,51 Hudson Avenue,2,44-444-6211,41,90,null,null,null,null,hotel
724,3,Lotlux,982 154 5448,0204 Oak Valley Place,3,49-138-1459,8,117,null,null,null,null,hotel
725,2,Greenlam,630 858 8432,2 South Drive,2,72-349-5908,108,42,null,null,null,null,hotel
726,3,Sub-Ex,604 940 9891,447 Oak Street,2,52-325-1288,125,115,null,null,null,null,hotel
727,1,Tin,235 475 6537,2 Rieder Park,4,76-006-7024,40,127,null,null,null,null,hotel
728,1,Mat Lam Tam,818 871 8720,24 Hagan Point,4,18-015-5205,114,63,null,null,null,null,hotel
729,4,Konklux,259 534 4128,030 Harbort Park,5,41-009-5801,17,94,null,null,null,null,hotel
730,2,Flowdesk,230 183 4111,41980 Stoughton Lane,5,63-563-1924,3,27,null,null,null,null,hotel
731,2,Redhold,477 735 7055,7056 Sunnyside Plaza,3,73-309-7603,123,152,null,null,null,null,hotel
732,1,Matsoft,550 759 1548,9 Fieldstone Hill,4,66-903-3416,65,65,null,null,null,null,hotel
733,1,Alpha,321 117 1973,60 Armistice Trail,3,69-195-9890,26,76,null,null,null,null,hotel
734,2,Sonair,963 924 2417,762 Everett Plaza,5,05-482-2017,58,3,null,null,null,null,hotel
735,2,Fixflex,400 516 6513,8 Buell Lane,3,14-203-1621,102,101,null,null,null,null,hotel
736,4,Bitwolf,679 339 8053,0309 Drewry Junction,4,52-772-9198,87,52,null,null,null,null,hotel
737,2,Lotlux,466 275 8400,7642 Granby Street,4,31-382-5518,21,132,null,null,null,null,hotel
738,4,Opela,692 519 3545,88281 Pepper Wood Circle,4,06-942-9950,154,66,null,null,null,null,hotel
739,4,Asoka,833 102 7700,25 Corry Park,2,65-186-0411,48,44,null,null,null,null,hotel
740,1,Flexidy,833 710 0543,0017 Ohio Terrace,5,99-236-4215,2,57,null,null,null,null,hotel
741,4,Aerified,561 998 1823,5409 Weeping Birch Parkway,5,70-042-2853,82,60,null,null,null,null,hotel
742,3,Bytecard,376 922 8136,58 Lawn Pass,4,15-257-2875,63,98,null,null,null,null,hotel
743,2,Tampflex,278 880 9896,3 Anthes Road,4,27-392-5367,153,153,null,null,null,null,hotel
744,1,Solarbreeze,453 905 3931,042 Scoville Court,2,56-929-6761,81,102,null,null,null,null,hotel
745,2,Sonair,450 866 4934,36 Lunder Trail,3,45-370-1332,85,28,null,null,null,null,hotel
746,1,Aerified,120 888 8924,02 Maple Park,2,76-533-5612,102,84,null,null,null,null,hotel
747,2,Veribet,982 573 1049,2 Mitchell Point,5,64-993-8780,111,89,null,null,null,null,hotel
748,3,Zoolab,198 661 6477,92 Morrow Court,2,14-783-3915,105,81,null,null,null,null,hotel
749,3,Namfix,769 960 8642,2564 Heath Lane,2,17-527-7642,80,96,null,null,null,null,hotel
750,1,Bytecard,641 968 7772,200 Fairview Place,3,61-820-0497,78,159,null,null,null,null,hotel
751,4,Sonair,802 896 4626,0 Katie Pass,3,91-793-5991,151,52,null,null,null,null,hotel
752,3,Bamity,857 165 1505,01 Tennyson Plaza,5,18-617-5333,121,39,null,null,null,null,hotel
753,3,Bitwolf,829 989 7051,0580 Messerschmidt Way,5,64-674-3981,55,46,null,null,null,null,hotel
754,3,Tempsoft,569 801 8000,6 Summerview Hill,3,13-885-9596,57,139,null,null,null,null,hotel
755,3,Rank,881 199 3491,42 Marcy Trail,4,33-214-9485,24,23,null,null,null,null,hotel
756,2,Duobam,217 326 3490,5 Anzinger Road,2,65-307-9908,95,53,null,null,null,null,hotel
757,2,Alpha,523 748 6566,4896 Arrowood Crossing,4,35-146-8412,19,100,null,null,null,null,hotel
758,3,Zontrax,679 658 6804,2 Hansons Circle,2,96-341-8836,33,82,null,null,null,null,hotel
759,4,Treeflex,145 279 8113,2872 Warrior Trail,4,75-972-5079,104,88,null,null,null,null,hotel
760,4,Cookley,718 932 4250,8 Karstens Drive,4,97-557-1785,50,75,null,null,null,null,hotel
761,2,Voyatouch,597 380 8157,97 Towne Lane,2,47-774-3658,119,118,null,null,null,null,hotel
762,3,Regrant,451 484 7731,1674 Talisman Parkway,3,42-265-8229,10,147,null,null,null,null,hotel
763,1,Transcof,113 696 6575,3 Ridgeview Avenue,2,51-924-0104,120,24,null,null,null,null,hotel
764,3,Regrant,852 138 9130,19478 Nevada Street,3,48-971-0117,146,142,null,null,null,null,hotel
765,2,Vagram,450 279 0221,566 Fisk Road,5,65-759-2116,93,3,null,null,null,null,hotel
766,2,Zontrax,961 554 3011,934 Summit Crossing,3,72-499-4508,45,137,null,null,null,null,hotel
767,4,Bigtax,116 923 4713,19 Tony Pass,4,05-365-7502,6,88,null,null,null,null,hotel
768,4,Fintone,210 560 5435,23684 Talmadge Avenue,4,85-500-9079,157,37,null,null,null,null,hotel
769,1,Duobam,176 410 1372,256 Merrick Lane,3,39-528-0782,62,98,null,null,null,null,hotel
770,3,Tempsoft,636 529 1841,8030 Morning Park,4,21-611-8524,13,148,null,null,null,null,hotel
771,2,Mat Lam Tam,550 531 0394,0 Nevada Avenue,3,72-337-4508,99,141,null,null,null,null,hotel
772,2,Hatity,987 385 9596,50261 Sycamore Junction,4,39-979-2922,110,41,null,null,null,null,hotel
773,4,Ronstring,268 450 0817,6 Dakota Point,3,60-297-9815,159,90,null,null,null,null,hotel
774,2,Konklab,319 880 1393,1 Green Road,2,61-972-5365,138,116,null,null,null,null,hotel
775,1,Alpha,835 223 1277,8595 Morrow Drive,3,77-028-0485,81,28,null,null,null,null,hotel
776,1,Lotlux,657 652 7020,99270 Birchwood Way,2,64-734-5619,3,101,null,null,null,null,hotel
777,3,Bamity,814 675 4794,7530 Jackson Road,2,02-559-6823,121,87,null,null,null,null,hotel
778,1,Tampflex,348 806 8756,72472 Becker Pass,4,63-576-7162,3,136,null,null,null,null,hotel
779,2,Tresom,286 213 9925,81 Toban Crossing,4,39-716-7933,150,152,null,null,null,null,hotel
780,4,Solarbreeze,464 280 2411,55923 Scoville Street,3,93-919-9218,97,8,null,null,null,null,hotel
781,4,Bitchip,770 672 1986,782 Prentice Plaza,2,86-440-6902,33,90,null,null,null,null,hotel
782,4,Gembucket,518 525 3172,2925 Grasskamp Drive,5,93-220-5905,16,143,null,null,null,null,hotel
783,3,Redhold,977 291 1904,55 Charing Cross Center,3,73-265-8022,59,80,null,null,null,null,hotel
784,3,Konklab,629 608 5354,543 Harbort Point,5,65-377-4756,38,31,null,null,null,null,hotel
785,3,Daltfresh,920 881 2774,770 Sunfield Point,3,48-666-5534,30,9,null,null,null,null,hotel
786,4,Lotlux,653 110 6782,140 Longview Plaza,2,88-685-8529,13,32,null,null,null,null,hotel
787,3,Solarbreeze,952 107 1858,7 Muir Alley,4,34-336-3814,151,2,null,null,null,null,hotel
788,1,Mat Lam Tam,713 618 1087,47879 Arizona Drive,4,85-887-8293,20,8,null,null,null,null,hotel
789,3,Konklux,669 443 0258,549 Armistice Court,3,03-630-2039,15,81,null,null,null,null,hotel
790,2,Hatity,407 475 4520,4975 Hoffman Junction,4,98-426-7829,105,82,null,null,null,null,hotel
791,4,Opela,134 205 7482,56017 Ridge Oak Circle,2,27-746-7743,2,120,null,null,null,null,hotel
792,1,Domainer,517 362 8079,8 Golf Way,4,92-786-3670,94,125,null,null,null,null,hotel
793,3,Bytecard,572 395 9870,45 Mesta Parkway,3,03-959-1762,100,15,null,null,null,null,hotel
794,3,Konklux,652 556 8004,7717 Dahle Way,4,59-398-7889,134,139,null,null,null,null,hotel
